tree_name,count
Maple,65926
Linden,16399
Locust,13598
Spruce,10293
Oak,9731
Hackberry,7441
Plane,5568
Pine,4251
Cedar,4094
Apple,3994
Elm,3095
Walnut,2858
Poplar,2824
Lilac,2629
Pear,2025
Tulip Tree,1921
Serviceberry,1788
Ash,1486
Ginkgo biloba (Maidenhair Tree),1395
Willow,1361
Cherry,1332
Mulberry,1206
Birch,1053
Corktree,990
Beech,909
Buckthorn,856
Red Bud,826
Catalpa,665
Juniper,657
Coffee tree,626
Zelkova,613
Magnolia,505
Hickory,491
Lilac (syringa),443
Fir,368
Ironwood,358
Falsecypress,349
Sumach,334
Hawthorn,331
Chestnut,227
Hemlock,221
Yew,210
Katsura,202
Dogwood,180
Smoke tree,151
Larch,146
Tree of heaven,133
Alder,112
Hazel,110
Chinquapin Oak,94
Olive,82
Buckeye,74
Dawn redwood,62
Gum,61
Plum,59
Hornbeam,54
Juneberry,50
Yellowood,46
Cypress,45
Pagoda,44
Viburnam,35
Hedge,34
Pea shrub,33
Golden Chain Tree/Laburnam,25
Pin Cherry,25
Ginkgo,23
Burning Bush,19
Amur Maackia,15
Osage orange,12
Golden Rain Tree,11
Tamarix,11
Devil's walking stick,9
Hop tree,8
Tulip tree,8
Silverbell,6
Nannyberry,6
Cucumber Tree,5
Cranberry,4
Paw paw,3
Rhododendron,3
Sassafras,3
Bald cypress,2
Fringe tree,2
Evodia,2
